id,suit,value,rank
card1,:heart,'2',2
card2,:heart,'3',3
card3,:heart,'4',4
card4,:heart,'5',5
card5,:heart,'6',6
card6,:heart,'7',7
card7,:heart,'8',8
card8,:heart,'9',9
card9,:heart,'10',10
card10,:heart,'Jack',11
card11,:heart,'Queen',12
card12,:heart,'King',13
card13,:heart,'Ace',14
card14,:diamond,'2',2
card15,:diamond,'3',3
card16,:diamond,'4',4
card17,:diamond,'5',5
card18,:diamond,'6',6
card19,:diamond,'7',7
card20,:diamond,'8',8
card21,:diamond,'9',9
card22,:diamond,'10',10
card23,:diamond,'Jack',11
card24,:diamond,'Queen',12
card25,:diamond,'King',13
card26,:diamond,'Ace',14
card27,:club,'2',2
card28,:club,'3',3
card29,:club,'4',4
card30,:club,'5',5
card31,:club,'6',6
card32,:club,'7',7
card33,:club,'8',8
card34,:club,'9',9
card35,:club,'10',10
card36,:club,'Jack',11
card37,:club,'Queen',12
card38,:club,'King',13
card39,:club,'Ace',14
card40,:spade,'2',2
card41,:spade,'3',3
card42,:spade,'4',4
card43,:spade,'5',5
card44,:spade,'6',6
card45,:spade,'7',7
card46,:spade,'8',8
card47,:spade,'9',9
card48,:spade,'10',10
card49,:spade,'Jack',11
card50,:spade,'Queen',12
card51,:spade,'King',13
card52,:spade,'Ace',14